post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:woo-feed-brand,tax:fb_product_set,meta:attr_label_translations,meta:description,meta:fb_product_description,meta:fb_product_group_id,meta:fb_product_image,meta:fb_product_item_id,meta:fb_product_price,meta:fb_visibility,meta:rs_page_bg_color,meta:shop_iner_breadcrumbs,meta:shop_inner_footer,meta:shop_inner_navigator,meta:shop_inner_style,meta:shop_single_bg_cl,meta:total_sales,meta:wcml_sync_hash,meta:wd_additional_variation_images_data,meta:wd_page_css_files,meta:woo_feed_material_var,meta:woo_variation_gallery_images,meta:woodmart_fbt_bundles_id,meta:woodmart_history_of_visits,meta:woodmart_price_unit_of_measure,meta:woodmart_sguide_select,meta:woodmart_total_stock_quantity,meta:woodmart_wc_video_gallery,meta:wpaicg_generate_description,meta:wpaicg_generate_meta,meta:wpaicg_generate_short,meta:wpaicg_generate_tags,meta:wpaicg_generate_title,meta:wpaicg_product_description,meta:wpaicg_product_short,meta:wpaicg_product_tags,meta:wpaicg_product_title,meta:attribute_pa_brand,meta:attribute_pa_color,meta:attribute_pa_fabric,meta:attribute_pa_material,meta:attribute_pa_quantity,meta:attribute_pa_sizes,meta:attribute_pa_texture,meta:attribute_pa_thickness,meta:attribute_size,attribute:pa_brand,attribute_data:pa_brand,attribute_default:pa_brand,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_fabric,attribute_data:pa_fabric,attribute_default:pa_fabric,attribute:pa_material,attribute_data:pa_material,attribute_default:pa_material,attribute:pa_model,attribute_data:pa_model,attribute_default:pa_model,attribute:pa_sizes,attribute_data:pa_sizes,attribute_default:pa_sizes,attribute:pa_texture,attribute_data:pa_texture,attribute_default:pa_texture,attribute:pa_thickness,attribute_data:pa_thickness,attribute_default:pa_thickness,attribute:العدد,attribute_data:العدد,attribute_default:العدد
"نعال فاخر LMB02 - أخضر, 9",lmb01-105-2,7820,7843,,"اللون: أخضر, المقاس: 9",publish,,23,"2020-07-05 15:44:22",6,closed,0710500306009,710500301006-1,,no,no,0.000000,1240,,,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/blank.png ! alt :  ! title : blank ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,outofstock,,,,,,,,,,,3287491541304717,,yes,,,,,,,0,"{""taxonomies"":""bd418f18277236c748e044446be33dcc"",""postmeta_fields"":""c6b7611d41c0e5942f29a5d75f5a9811""}",,,,,,,,,,,,,,,,,,,,,أخضر,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - أخضر, 8.5",lmb01-106-2,7820,7844,,"اللون: أخضر, المقاس: 8.5",publish,,24,"2020-07-05 15:44:22",6,closed,0710500306085,710500301006-1,,no,no,0.000000,1240,,,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/blank.png ! alt :  ! title : blank ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,outofstock,,,,,,,,,,,3455485037850063,,yes,,,,,,,0,"{""taxonomies"":""bd418f18277236c748e044446be33dcc"",""postmeta_fields"":""8d9438c0575e4319b8b853bfa6a1367f""}",,,,,,,,,,,,,,,,,,,,,أخضر,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - أخضر, 8",lmb01-107-2,7820,7845,,"اللون: أخضر, المقاس: 8",publish,,25,"2020-07-05 15:44:22",6,closed,0710500306008,710500301006-1,,no,no,0.000000,1240,,,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/blank.png ! alt :  ! title : blank ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,outofstock,,,,,,,,,,,3343793192340431,,yes,,,,,,,0,"{""taxonomies"":""bd418f18277236c748e044446be33dcc"",""postmeta_fields"":""a77d51a1217f406efeec97c111dadc8e""}",,,,,,,,,,,,,,,,,,,,,أخضر,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - أخضر, 7.5",lmb01-108-2,7820,7846,,"اللون: أخضر, المقاس: 7.5",publish,,26,"2020-07-05 15:44:22",6,closed,0710500306075,710500301006-1,,no,no,1,1240,,,,,,parent,instock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/blank.png ! alt :  ! title : blank ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,,,,,,,,,,,,3107707899339059,,yes,,,,,,,0,"{""taxonomies"":""bd418f18277236c748e044446be33dcc"",""postmeta_fields"":""4da25c0369b54c9dddb72b38c697bf58""}",,,,,,,,,,,,,,,,,,,,,أخضر,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - أخضر, 7",lmb01-109-2,7820,7847,,"اللون: أخضر, المقاس: 7",publish,,27,"2020-07-05 15:44:22",6,closed,0710500306007,710500301006-1,,no,no,0.000000,1240,,,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/blank.png ! alt :  ! title : blank ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,outofstock,,,,,,,,,,,3530283887029436,,yes,,,,,,,0,"{""taxonomies"":""bd418f18277236c748e044446be33dcc"",""postmeta_fields"":""7d3f8130e3214a97748f27a77f05ddba""}",,,,,,,,,,,,,,,,,,,,,أخضر,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - أخضر, 6",lmb01-110-2,7820,7848,,"اللون: أخضر, المقاس: 6",publish,,28,"2020-07-05 15:44:22",6,closed,0710500306006,710500301006-1,,no,no,0.000000,1240,,,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/blank.png ! alt :  ! title : blank ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,outofstock,,,,,,,,,,,3220338424731795,,yes,,,,,,,0,"{""taxonomies"":""bd418f18277236c748e044446be33dcc"",""postmeta_fields"":""dffc5b7f2f05630394989fec55ed4587""}",,,,,,,,,,,,,,,,,,,,,أخضر,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - هافان, 12",lmb01-111-2,7820,7849,,"اللون: هافان, المقاس: 12",publish,,29,"2020-07-05 15:44:22",6,closed,0710500307012,710500301006-1,,no,no,null,1240,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/IMG_0252_Website3.jpg ! alt :  ! title : IMG_0252_Website3 ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,,,,,,,,,,,,3655842134466215,,yes,,,,,,,0,"{""taxonomies"":""c7e1249ffc03eb9ded908c236bd1996d"",""postmeta_fields"":""975d3fef0cf92cf77537fdb300de2426""}",,,,,,,,,,,,,,,,,,,,,هافان,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - هافان, 11",lmb01-112-2,7820,7850,,"اللون: هافان, المقاس: 11",publish,,30,"2020-07-05 15:44:23",6,closed,0710500307011,710500301006-1,,no,no,null,1240,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/IMG_0252_Website3.jpg ! alt :  ! title : IMG_0252_Website3 ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,,,,,,,,,,,,3824069814272071,,yes,,,,,,,0,"{""taxonomies"":""c7e1249ffc03eb9ded908c236bd1996d"",""postmeta_fields"":""f1dd32e3c8f6f725ba99695a533e4949""}",,,,,,,,,,,,,,,,,,,,,هافان,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - هافان, 10",lmb01-113-2,7820,7851,,"اللون: هافان, المقاس: 10",publish,,31,"2020-07-05 15:44:23",6,closed,0710500307010,710500301006-1,,no,no,null,1240,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/IMG_0252_Website3.jpg ! alt :  ! title : IMG_0252_Website3 ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,,,,,,,,,,,,3682744635122886,,,,,,,,,0,"{""taxonomies"":""c7e1249ffc03eb9ded908c236bd1996d"",""postmeta_fields"":""af6eac9172f14657fda3a9ea1269278b""}",,,,,,,,,,,,,,,,,,,,,هافان,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - هافان, 9",lmb01-114-2,7820,7852,,"اللون: هافان, المقاس: 9",publish,,32,"2020-07-05 15:44:23",6,closed,0710500307009,710500301006-1,,no,no,null,1240,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/IMG_0252_Website3.jpg ! alt :  ! title : IMG_0252_Website3 ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,,,,,,,,,,,,3543316762385980,,,,,,,,,0,"{""taxonomies"":""c7e1249ffc03eb9ded908c236bd1996d"",""postmeta_fields"":""cd7df5069f7aa9e9432ed8461ce535c8""}",,,,,,,,,,,,,,,,,,,,,هافان,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - هافان, 8.5",lmb01-115-2,7820,7853,,"اللون: هافان, المقاس: 8.5",publish,,33,"2020-07-05 15:44:23",6,closed,0710500307085,710500301006-1,,no,no,null,1240,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/IMG_0252_Website3.jpg ! alt :  ! title : IMG_0252_Website3 ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,,,,,,,,,,,,3593083290722365,,,,,,,,,0,"{""taxonomies"":""c7e1249ffc03eb9ded908c236bd1996d"",""postmeta_fields"":""24681b5edfddd449187b3543e1f14907""}",,,,,,,,,,,,,,,,,,,,,هافان,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - هافان, 8",lmb01-116-2,7820,7854,,"اللون: هافان, المقاس: 8",publish,,34,"2020-07-05 15:44:23",6,closed,0710500307008,710500301006-1,,no,no,null,1240,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/IMG_0252_Website3.jpg ! alt :  ! title : IMG_0252_Website3 ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,,,,,,,,,,,,3270087389693502,,,,,,,,,0,"{""taxonomies"":""c7e1249ffc03eb9ded908c236bd1996d"",""postmeta_fields"":""60e15e87f83aa11444628dd9c3e26ae5""}",,,,,,,,,,,,,,,,,,,,,هافان,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - هافان, 7.5",lmb01-117-2,7820,7855,,"اللون: هافان, المقاس: 7.5",publish,,35,"2020-07-05 15:44:23",6,closed,0710500307075,710500301006-1,,no,no,null,1240,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/IMG_0252_Website3.jpg ! alt :  ! title : IMG_0252_Website3 ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,,,,,,,,,,,,2912537998846363,,,,,,,,,0,"{""taxonomies"":""c7e1249ffc03eb9ded908c236bd1996d"",""postmeta_fields"":""af7394be6d60f5ff123f6cee015003df""}",,,,,,,,,,,,,,,,,,,,,هافان,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - هافان, 7",lmb01-118-2,7820,7856,,"اللون: هافان, المقاس: 7",publish,,36,"2020-07-05 15:44:23",6,closed,0710500307007,710500301006-1,,no,no,null,1240,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/IMG_0252_Website3.jpg ! alt :  ! title : IMG_0252_Website3 ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,,,,,,,,,,,,3250886111631072,,,,,,,,,0,"{""taxonomies"":""c7e1249ffc03eb9ded908c236bd1996d"",""postmeta_fields"":""f08a41fdfcff49b3e24da36e21a18656""}",,,,,,,,,,,,,,,,,,,,,هافان,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - أسود, 12",lmb01-119-2,7820,7857,,"اللون: أسود, المقاس: 12",publish,,37,"2020-07-05 15:44:24",6,closed,0710500302012,710500301006-1,,no,no,null,1240,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/IMG_0285_Website3.jpg ! alt :  ! title : IMG_0285_Website3 ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,,,,,,,,,,,,4470512409686067,,,,,,,,,0,"{""taxonomies"":""c7e1249ffc03eb9ded908c236bd1996d"",""postmeta_fields"":""0234ee748725ab4b4d1190a9a4233187""}",,,,,,,,,,,,,,,,,,,,,أسود,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - أسود, 11",lmb01-120-2,7820,7858,,"اللون: أسود, المقاس: 11",publish,,38,"2020-07-05 15:44:24",6,closed,0710500302011,710500301006-1,,no,no,null,1240,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/IMG_0285_Website3.jpg ! alt :  ! title : IMG_0285_Website3 ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,,,,,,,,,,,,3261863277196182,,,,,,,,,0,"{""taxonomies"":""c7e1249ffc03eb9ded908c236bd1996d"",""postmeta_fields"":""bcc068d0b914b53d96c538676f720204""}",,,,,,,,,,,,,,,,,,,,,أسود,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - أسود, 10",lmb01-121-2,7820,7859,,"اللون: أسود, المقاس: 10",publish,,39,"2020-07-05 15:44:24",6,closed,0710500302010,710500301006-1,,no,no,null,1240,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/IMG_0285_Website3.jpg ! alt :  ! title : IMG_0285_Website3 ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,,,,,,,,,,,,3455492837870567,,,,,,,,,0,"{""taxonomies"":""c7e1249ffc03eb9ded908c236bd1996d"",""postmeta_fields"":""e4d43de8e1006e371983c78d0e7a1afe""}",,,,,,,,,,,,,,,,,,,,,أسود,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - أسود, 9",lmb01-122-2,7820,7860,,"اللون: أسود, المقاس: 9",publish,,40,"2020-07-05 15:44:24",6,closed,0710500302009,710500301006-1,,no,no,null,1240,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/IMG_0285_Website3.jpg ! alt :  ! title : IMG_0285_Website3 ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,,,,,,,,,,,,3421147614640103,,,,,,,,,0,"{""taxonomies"":""c7e1249ffc03eb9ded908c236bd1996d"",""postmeta_fields"":""101a6ba69eabeef79befdc7ff2251cca""}",,,,,,,,,,,,,,,,,,,,,أسود,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - أسود, 8.5",lmb01-123-2,7820,7861,,"اللون: أسود, المقاس: 8.5",publish,,41,"2020-07-05 15:44:24",6,closed,0710500302085,710500301006-1,,no,no,null,1240,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/IMG_0285_Website3.jpg ! alt :  ! title : IMG_0285_Website3 ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,,,,,,,,,,,,3142461679214217,,,,,,,,,0,"{""taxonomies"":""c7e1249ffc03eb9ded908c236bd1996d"",""postmeta_fields"":""5ec54b2cbcb839e4bb29a328115ac28a""}",,,,,,,,,,,,,,,,,,,,,أسود,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - أسود, 8",lmb01-124-2,7820,7862,,"اللون: أسود, المقاس: 8",publish,,42,"2020-07-05 15:44:24",6,closed,0710500302008,710500301006-1,,no,no,null,1240,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/IMG_0285_Website3.jpg ! alt :  ! title : IMG_0285_Website3 ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,,,,,,,,,,,,2884757748293082,,,,,,,,,0,"{""taxonomies"":""c7e1249ffc03eb9ded908c236bd1996d"",""postmeta_fields"":""bf9094731d7a571d2a6b7503d958de25""}",,,,,,,,,,,,,,,,,,,,,أسود,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - أسود, 7.5",lmb01-125-2,7820,7863,,"اللون: أسود, المقاس: 7.5",publish,,43,"2020-07-05 15:44:24",6,closed,0710500302075,710500301006-1,,no,no,null,1240,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/IMG_0285_Website3.jpg ! alt :  ! title : IMG_0285_Website3 ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,,,,,,,,,,,,3370508556402010,,,,,,,,,0,"{""taxonomies"":""c7e1249ffc03eb9ded908c236bd1996d"",""postmeta_fields"":""8b22f73d5827fb96afda3b30f8b72d84""}",,,,,,,,,,,,,,,,,,,,,أسود,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - أسود, 7",lmb01-126-2,7820,7864,,"اللون: أسود, المقاس: 7",publish,,44,"2020-07-05 15:44:24",6,closed,0710500302007,710500301006-1,,no,no,null,1240,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/IMG_0285_Website3.jpg ! alt :  ! title : IMG_0285_Website3 ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,,,,,,,,,,,,3334978583261322,,,,,,,,,0,"{""taxonomies"":""c7e1249ffc03eb9ded908c236bd1996d"",""postmeta_fields"":""771f6935fd729b7c66a4cf955ed4a09b""}",,,,,,,,,,,,,,,,,,,,,أسود,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - أسود, 6",lmb01-127-2,7820,7865,,"اللون: أسود, المقاس: 6",publish,,45,"2020-07-05 15:44:24",6,closed,0710500302006,710500301006-1,,no,no,null,1240,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/IMG_0285_Website3.jpg ! alt :  ! title : IMG_0285_Website3 ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,,,,,,,,,,,,3393570957389132,,,,,,,,,0,"{""taxonomies"":""c7e1249ffc03eb9ded908c236bd1996d"",""postmeta_fields"":""a025511cd3438b7a274fff35eea59414""}",,,,,,,,,,,,,,,,,,,,,أسود,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - سكري, 12",lmb01-128-2,7820,7866,,"اللون: سكري, المقاس: 12",publish,,46,"2020-07-05 15:44:25",6,closed,0710500303012,710500301006-1,,no,no,0.000000,1240,,,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/IMG_0196_Website3.jpg ! alt :  ! title : IMG_0196_Website3 ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,outofstock,,,,,,,,,,,3352364561510715,,,,,,,,,0,"{""taxonomies"":""bd418f18277236c748e044446be33dcc"",""postmeta_fields"":""97e9a4a20f9976096676ca45d5638850""}",,,,,,,,,,,,,,,,,,,,,سكري,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - سكري, 11",lmb01-129-2,7820,7867,,"اللون: سكري, المقاس: 11",publish,,47,"2020-07-05 15:44:25",6,closed,0710500303011,710500301006-1,,no,no,0.000000,1240,,,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/IMG_0196_Website3.jpg ! alt :  ! title : IMG_0196_Website3 ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,outofstock,,,,,,,,,,,3415505758513932,,,,,,,,,0,"{""taxonomies"":""bd418f18277236c748e044446be33dcc"",""postmeta_fields"":""dd115e61ef33141d480719b07f2c2944""}",,,,,,,,,,,,,,,,,,,,,سكري,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - سكري, 10",lmb01-130-2,7820,7868,,"اللون: سكري, المقاس: 10",publish,,48,"2020-07-05 15:44:25",6,closed,0710500303010,710500301006-1,,no,no,1,1240,,,,,,parent,instock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/IMG_0196_Website3.jpg ! alt :  ! title : IMG_0196_Website3 ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,,,,,,,,,,,,4466648636739519,,,,,,,,,0,"{""taxonomies"":""bd418f18277236c748e044446be33dcc"",""postmeta_fields"":""95ca3fb1bb3151358a0756cff0474935""}",,,,,,,,,,,,,,,,,,,,,سكري,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - سكري, 9",lmb01-131-2,7820,7869,,"اللون: سكري, المقاس: 9",publish,,49,"2020-07-05 15:44:25",6,closed,0710500303009,710500301006-1,,no,no,0.000000,1240,,,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/IMG_0196_Website3.jpg ! alt :  ! title : IMG_0196_Website3 ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,outofstock,,,,,,,,,,,3014065768699629,,,,,,,,,0,"{""taxonomies"":""bd418f18277236c748e044446be33dcc"",""postmeta_fields"":""e68b547646b9c91a0cc86d193b76cf95""}",,,,,,,,,,,,,,,,,,,,,سكري,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - سكري, 8.5",lmb01-132-2,7820,7870,,"اللون: سكري, المقاس: 8.5",publish,,50,"2020-07-05 15:44:25",6,closed,0710500303085,710500301006-1,,no,no,0.000000,1240,,,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/IMG_0196_Website3.jpg ! alt :  ! title : IMG_0196_Website3 ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,outofstock,,,,,,,,,,,3616858578365063,,,,,,,,,0,"{""taxonomies"":""bd418f18277236c748e044446be33dcc"",""postmeta_fields"":""280b248777006aa45369abfdbca5e463""}",,,,,,,,,,,,,,,,,,,,,سكري,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - سكري, 8",lmb01-133-2,7820,7871,,"اللون: سكري, المقاس: 8",publish,,51,"2020-07-05 15:44:25",6,closed,0710500303008,710500301006-1,,no,no,0.000000,1240,,,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/IMG_0196_Website3.jpg ! alt :  ! title : IMG_0196_Website3 ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,outofstock,,,,,,,,,,,3481210971971651,,,,,,,,,0,"{""taxonomies"":""bd418f18277236c748e044446be33dcc"",""postmeta_fields"":""4fbdeb6f0e33096294aaa5056f64b514""}",,,,,,,,,,,,,,,,,,,,,سكري,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - سكري, 7.5",lmb01-134-2,7820,7872,,"اللون: سكري, المقاس: 7.5",publish,,52,"2020-07-05 15:44:25",6,closed,0710500303075,710500301006-1,,no,no,0.000000,1240,,,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/IMG_0196_Website3.jpg ! alt :  ! title : IMG_0196_Website3 ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,outofstock,,,,,,,,,,,3322443964500425,,,,,,,,,0,"{""taxonomies"":""bd418f18277236c748e044446be33dcc"",""postmeta_fields"":""39d8a14b85103f7ad29cf5f23183451b""}",,,,,,,,,,,,,,,,,,,,,سكري,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"نعال فاخر LMB02 - سكري, 7",lmb01-135-2,7820,7873,,"اللون: سكري, المقاس: 7",publish,,53,"2020-07-05 15:44:25",6,closed,0710500303007,710500301006-1,,no,no,0.000000,1240,,,,,,parent,outofstock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/IMG_0196_Website3.jpg ! alt :  ! title : IMG_0196_Website3 ! desc :  ! caption : ",,https://kalash.gallery/product/lmb02/,,,,,,,,,,,,,outofstock,,,,,,,,,,,3249548518464717,,,,,,,,,0,"{""taxonomies"":""bd418f18277236c748e044446be33dcc"",""postmeta_fields"":""3dda522a6234b1a890a8e02b2e37c440""}",,,,,,,,,,,,,,,,,,,,,سكري,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
